Track name,Artist name,Album name,Spotify ID,Spotify URL,Taste Match,Mood,Local Filename
Antoine Chambe & Otter Berry ft. Hi-Ly - Andalusia (Filatov & Karas Remix),Babylonia,2017 March,,,90%,Sunset Deep House,Babylonia - Antoine Chambe & Otter Berry ft. Hi-Ly - Andalusia (Filatov & Karas Remix).mp3
"DJ Crown, Juloboy - City Lights (Original Mix)",Babylonia,2017 Febuary,,,90%,Sunset Deep House,"Babylonia - DJ Crown, Juloboy - City Lights (Original Mix).mp3"
Voices (Original Mix),Blood Groove & Kikis,2018 December,,,90%,Sunset Deep House,04. Blood Groove & Kikis - Voices (Original Mix) [www.slider.kz].mp3
The Only Way feat Cosma (Supacooks Remix),CRAM,2019 July,,,90%,Sunset Deep House,CRAM - The Only Way feat Cosma (Supacooks Remix) [www.slider.kz].mp3
Keep On Dancing,Danijel Kostic & Shyam,2018 September,,,90%,Sunset Deep House,Danijel Kostic & Shyam - Keep On Dancing  [www.slider.kz].mp3
Vogelvlucht (Original Mix),De Hofnar,Indie,5CeTuypSIJIOq0nUs4uhBh,https://open.spotify.com/track/5CeTuypSIJIOq0nUs4uhBh,90%,Sunset Deep House,De Hofnar-Vogelvlucht (Original Mix) www.myfreemp3.re .mp3
Spring (Blood Groove & Kikis Remix),Elvin Ong,Root,,,90%,Sunset Deep House,Elvin Ong - Spring (Blood Groove & Kikis Remix).mp3
Klanga (Cedric Zeyenne Remix) (DEEP ONE radio edit) (DEEP ONE radio edit),Gostan,2016 December,,,90%,Sunset Deep House,Gostan - Klanga (Cedric Zeyenne Remix) (DEEP ONE radio edit) (DEEP ONE radio edit) - http---vk.com-deep1radio.mp3
The More I Want You (Original Mix),Larse,2017 March,,,90%,Sunset Deep House,06 Larse - The More I Want You (Original Mix).mp3
Reflections (Gryffin Remix),Misterwives,2019 August,,,90%,Sunset Deep House,Misterwives - Reflections (Gryffin Remix).mp3
Do It All Again Pascal Junior Remix MP3 downloads,MrProbz,Root,,,90%,Sunset Deep House,MrProbz - Do It All Again Pascal Junior Remix MP3 downloads _ www.MyFreeMp3.eu_2.MP3
This Is You feat. Sarah Clark (Blood Groove & Kikis Remix),Nigel Good,2018 December,,,90%,Sunset Deep House,Nigel Good - This Is You feat. Sarah Clark (Blood Groove & Kikis Remix) [www.slider.kz].mp3
BBC Essential Mix 2017 Deep Tech Indie Dance,Nora En Pure,Root,,,90%,Sunset Deep House,Nora En Pure - BBC Essential Mix 2017  Deep House  Tech House  Indie Dance.mp3
Turn It Around (Original Mix) - vk.com-lux.music,Nora En Pure,2017 Febuary,,,90%,Sunset Deep House,Nora En Pure - Turn It Around (Original Mix) - vk.com-lux.music.mp3
Love Song (Mahmut Orhan Remix) (1),"Playmen, Alceen feat. Mia",Indie,1BBbGyAkQNZKoJgqeZRuLI,https://open.spotify.com/track/1BBbGyAkQNZKoJgqeZRuLI,90%,Sunset Deep House,"Playmen, Alceen feat. Mia-Love Song (Mahmut Orhan Remix) www.myfreemp3.re  (1).mp3"
Prayer (Original Mix),Robin Schulz,Root,,,90%,Sunset Deep House,Robin Schulz - Prayer (Original Mix).mp3
Willst Du,Robin Schulz,Root,,,90%,Sunset Deep House,Robin Schulz  - Willst Du .mp3
Willst Du (Radio Mix),Robin Schulz & Alligatoah,Root,,,90%,Sunset Deep House,Robin Schulz & Alligatoah - Willst Du (Radio Mix).mp3
Can`t Get Away (Kungs Remix),Rodriguez,2017 March,,,90%,Sunset Deep House,Rodriguez - Can`t Get Away (Kungs Remix).mp3
frank-ocean-thinking-bout-you-motez-edit,Various Artists,2016 June,,,90%,Sunset Deep House,frank-ocean-thinking-bout-you-motez-edit[mp3freex].mp3
The Only One (Alex Hook Radio Remix),Various Artists,2020 July,,,90%,Sunset Deep House,04 - The Only One (Alex Hook Radio Remix).mp3
The Only One (Alex Hook Remix),Various Artists,2020 July,,,90%,Sunset Deep House,03 - The Only One (Alex Hook Remix).mp3
Light Up,Vijay & Sofia,2020 July,,,90%,Sunset Deep House,Vijay & Sofia - Light Up.mp3
World Of Colors,Vijay & Sofia,2020 July,,,90%,Sunset Deep House,Vijay & Sofia - World Of Colors.mp3
